Levitació,Amb Rotor,Distància (cm),Potència,Dalt-Esquerra,Dalt-Mig,Dalt-Dreta,Mig-Esquerra,Mig-Mig,Mig-Dreta,Baix-Esquerra,Baix-Mig,Baix-Dreta,vel avg
No,No,24,1,14.4,13.4,14.4,14.4,9.0,14.4,14.4,13.4,14.4,13.57777777777778
No,No,24,2,15.8,14.9,15.8,15.8,10.4,15.8,15.8,14.9,15.8,15.0
No,No,24,3,16.6,16.0,16.6,16.9,11.5,16.9,16.6,16.0,16.6,15.966666666666665
No,Sí,24,1,6.5,9.0,10.1,8.6,5.8,10.1,10.1,8.3,4.0,8.055555555555555
No,Sí,24,2,8.6,10.8,11.5,9.0,7.6,10.8,11.0,8.6,4.3,9.133333333333333
No,Sí,24,3,8.6,11.3,12.6,10.3,8.8,11.0,12.0,8.8,5.0,9.822222222222221
Sí,Sí,24,1,7.0,9.2,9.2,10.1,6.0,7.4,11.0,8.8,6.0,8.3
Sí,Sí,24,2,8.2,11.2,11.0,11.3,5.2,7.9,12.0,9.2,6.8,9.200000000000001
Sí,Sí,24,3,7.8,10.4,12.1,12.4,5.0,8.8,12.4,10.3,7.2,9.600000000000001
