Levitació,Potència,Mesura 1 (rpm),Mesura 2 (rpm),Mesura 3 (rpm),Velocitat Rotació Promig triple (rpm),Velocitat de Rotació (rpm),Velocitat rotor rad/s,Ec (J)
No,1,264,268,260,264.0,88.0,9.215338450530059,0.046664893285420846
No,2,345,350,349,348.0,116.0,12.147491593880535,0.08108507283685734
No,3,422,436,420,426.0,142.0,14.870205226991688,0.12150709041932158
Sí,1,489,465,462,472.0,157.33333333333334,16.475908138826473,0.1491648241749771
Sí,2,648,939,579,722.0,240.66666666666666,25.202554398798117,0.34902522714929585
Sí,3,825,831,825,827.0,275.6666666666667,28.867745827986212,0.45792403867947384
